Agency,SideID,Date,Discharge cfs,Data Quality,discharge m3/s
USGS,11252275,10/19/16,201,A,5.691717
USGS,11252275,10/20/16,198,A,5.606766
USGS,11252275,10/21/16,194,A,5.493498
USGS,11252275,10/22/16,185,A,5.238645
USGS,11252275,10/23/16,187,A,5.295279
USGS,11252275,10/24/16,193,A,5.465181
USGS,11252275,10/25/16,196,A,5.550132
USGS,11252275,10/26/16,193,A,5.465181
USGS,11252275,10/27/16,198,A,5.606766
USGS,11252275,10/28/16,203,A,5.748351
USGS,11252275,10/29/16,194,A,5.493498
USGS,11252275,10/30/16,190,A,5.38023
USGS,11252275,10/31/16,192,A,5.436864
USGS,11252275,11/1/16,191,A,5.408547
USGS,11252275,11/2/16,204,A,5.776668
USGS,11252275,11/3/16,202,A,5.720034
USGS,11252275,11/4/16,189,A,5.351913
USGS,11252275,11/5/16,189,A,5.351913
USGS,11252275,11/6/16,182,A,5.153694
USGS,11252275,11/7/16,182,A,5.153694
USGS,11252275,11/8/16,180,A,5.09706
USGS,11252275,11/9/16,186,A,5.266962
USGS,11252275,11/10/16,183,A,5.182011
USGS,11252275,11/11/16,180,A,5.09706
USGS,11252275,11/12/16,177,A,5.012109
USGS,11252275,11/13/16,177,A,5.012109
USGS,11252275,11/14/16,179,A,5.068743
USGS,11252275,11/15/16,183,A,5.182011
USGS,11252275,11/16/16,178,A,5.040426
USGS,11252275,11/17/16,177,A,5.012109
USGS,11252275,11/18/16,176,A,4.983792
USGS,11252275,11/19/16,176,A,4.983792
USGS,11252275,11/20/16,177,A,5.012109
USGS,11252275,11/21/16,178,A,5.040426
USGS,11252275,11/22/16,177,A,5.012109
USGS,11252275,11/23/16,174,A,4.927158
USGS,11252275,11/24/16,173,A,4.898841
USGS,11252275,11/25/16,166,A,4.700622
USGS,11252275,11/26/16,161,A,4.559037
USGS,11252275,11/27/16,161,A,4.559037
USGS,11252275,11/28/16,161,A,4.559037
USGS,11252275,11/29/16,161,A,4.559037
USGS,11252275,11/30/16,175,A,4.955475
USGS,11252275,12/1/16,176,A,4.983792
USGS,11252275,12/2/16,171,A,4.842207
USGS,11252275,12/3/16,172,A,4.870524
USGS,11252275,12/4/16,177,A,5.012109
USGS,11252275,12/5/16,178,A,5.040426
USGS,11252275,12/6/16,178,A,5.040426
USGS,11252275,12/7/16,176,A,4.983792
USGS,11252275,12/8/16,169,A,4.785573
USGS,11252275,12/9/16,169,A,4.785573
USGS,11252275,12/10/16,173,A,4.898841
USGS,11252275,12/11/16,176,A,4.983792
USGS,11252275,12/12/16,170,A,4.81389
USGS,11252275,12/13/16,170,A,4.81389
USGS,11252275,12/14/16,167,A,4.728939
USGS,11252275,12/15/16,167,A,4.728939
USGS,11252275,12/16/16,167,A,4.728939
USGS,11252275,12/17/16,166,A,4.700622
USGS,11252275,12/18/16,165,A,4.672305
USGS,11252275,12/19/16,177,A,5.012109
USGS,11252275,12/20/16,168,A,4.757256
USGS,11252275,12/21/16,168,A,4.757256
USGS,11252275,12/22/16,230,A,6.51291
USGS,11252275,12/23/16,180,A,5.09706
USGS,11252275,12/24/16,177,A,5.012109
USGS,11252275,12/25/16,171,A,4.842207
USGS,11252275,12/26/16,168,A,4.757256
USGS,11252275,12/27/16,167,A,4.728939
USGS,11252275,12/28/16,167,A,4.728939
USGS,11252275,12/29/16,169,A,4.785573
USGS,11252275,12/30/16,167,A,4.728939
USGS,11252275,12/31/16,157,A,4.445769
USGS,11252275,1/1/17,156,A,4.417452
USGS,11252275,1/2/17,157,A,4.445769
USGS,11252275,1/3/17,157,A,4.445769
USGS,11252275,1/4/17,147,A,4.162599
USGS,11252275,1/5/17,163,A,4.615671
USGS,11252275,1/6/17,173,A,4.898841
USGS,11252275,1/7/17,194,A,5.493498
USGS,11252275,1/8/17,164,A,4.643988
USGS,11252275,1/9/17,154,A,4.360818
USGS,11252275,1/10/17,152,A,4.304184
USGS,11252275,1/11/17,149,A,4.219233
USGS,11252275,1/12/17,149,A,4.219233
USGS,11252275,1/13/17,148,A,4.190916
USGS,11252275,1/14/17,148,A,4.190916
USGS,11252275,1/15/17,150,A,4.24755
USGS,11252275,1/16/17,151,A,4.275867
USGS,11252275,1/17/17,150,A,4.24755
USGS,11252275,1/18/17,177,A,5.012109
USGS,11252275,1/19/17,219,A,6.201423
USGS,11252275,1/20/17,233,A,6.597861
USGS,11252275,1/21/17,180,A,5.09706
USGS,11252275,1/22/17,170,A,4.81389
USGS,11252275,1/23/17,203,A,5.748351
USGS,11252275,1/24/17,224,A,6.343008
USGS,11252275,1/25/17,186,A,5.266962
USGS,11252275,1/26/17,175,A,4.955475
USGS,11252275,1/27/17,168,A,4.757256
USGS,11252275,1/28/17,166,A,4.700622
USGS,11252275,1/29/17,152,A,4.304184
USGS,11252275,1/30/17,151,A,4.275867
USGS,11252275,1/31/17,273,A,7.730541
USGS,11252275,2/1/17,444,A,12.572748
USGS,11252275,2/2/17,229,A,6.484593
USGS,11252275,2/3/17,173,A,4.898841
USGS,11252275,2/4/17,155,A,4.389135
USGS,11252275,2/5/17,148,A,4.190916
USGS,11252275,2/6/17,144,A,4.077648
USGS,11252275,2/7/17,140,A,3.96438
USGS,11252275,2/8/17,137,A,3.879429
USGS,11252275,2/9/17,136,A,3.851112
USGS,11252275,2/10/17,135,A,3.822795
USGS,11252275,2/11/17,142,A,4.021014
USGS,11252275,2/12/17,157,A,4.445769
USGS,11252275,2/13/17,167,A,4.728939
USGS,11252275,2/14/17,167,A,4.728939
USGS,11252275,2/15/17,170,A,4.81389
USGS,11252275,2/16/17,195,A,5.521815
USGS,11252275,2/17/17,234,A,6.626178
USGS,11252275,2/18/17,245,A,6.937665
USGS,11252275,2/19/17,250,A,7.07925
USGS,11252275,2/20/17,267,A,7.560639
USGS,11252275,2/21/17,266,A,7.532322
USGS,11252275,2/22/17,262,A,7.419054
USGS,11252275,2/23/17,260,A,7.36242
USGS,11252275,2/24/17,259,A,7.334103
USGS,11252275,2/25/17,263,A,7.447371
USGS,11252275,2/26/17,260,A,7.36242
USGS,11252275,2/27/17,256,A,7.249152
USGS,11252275,2/28/17,256,A,7.249152
USGS,11252275,3/1/17,254,A,7.192518
USGS,11252275,3/2/17,255,A,7.220835
USGS,11252275,3/3/17,236,A,6.682812
USGS,11252275,3/4/17,238,A,6.739446
USGS,11252275,3/5/17,252,A,7.135884
USGS,11252275,3/6/17,459,A,12.997503
USGS,11252275,3/7/17,497,A,14.073549
USGS,11252275,3/8/17,419,A,11.864823
USGS,11252275,3/9/17,250,A,7.07925
USGS,11252275,3/10/17,229,A,6.484593
USGS,11252275,3/11/17,282,A,7.985394
USGS,11252275,3/12/17,425,A,12.034725
USGS,11252275,3/13/17,330,A,9.34461
USGS,11252275,3/14/17,385,A,10.902045
USGS,11252275,3/15/17,315,A,8.919855
USGS,11252275,3/16/17,272,A,7.702224
USGS,11252275,3/17/17,232,A,6.569544
USGS,11252275,3/18/17,232,A,6.569544
USGS,11252275,3/19/17,253,A,7.164201
USGS,11252275,3/20/17,248,A,7.022616
USGS,11252275,3/21/17,241,A,6.824397
USGS,11252275,3/22/17,242,A,6.852714
USGS,11252275,3/23/17,256,A,7.249152
USGS,11252275,3/24/17,254,A,7.192518
USGS,11252275,3/25/17,252,A,7.135884
USGS,11252275,3/26/17,251,A,7.107567
USGS,11252275,3/27/17,251,A,7.107567
USGS,11252275,3/28/17,247,A,6.994299
USGS,11252275,3/29/17,246,A,6.965982
